Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Thomas Mann","12176","Lili Cappellini","2238","54","Directed","Thomas Mann–Lili Cappellini","1"
"Thomas Mann","12176","Alfred Kerr","11910","50","Directed","Thomas Mann–Alfred Kerr","1"
"Max Mell","12225","Olga Schnitzler","2173","555","Directed","Max Mell–Olga Schnitzler","6"
"Max Mell","12225","Paul Schlenther","12671","46","Directed","Max Mell–Paul Schlenther","1"
"Frank Wedekind","13068","Olga Schnitzler","2173","555","Directed","Frank Wedekind–Olga Schnitzler","2"
"Frank Wedekind","13068","Hugo von Hofmannsthal","11740","300","Directed","Frank Wedekind–Hugo von Hofmannsthal","1"
"Frank Wedekind","13068","Hermann Bahr","10815","223","Directed","Frank Wedekind–Hermann Bahr","1"
"Frank Wedekind","13068","Heinrich Schnitzler","12692","133","Directed","Frank Wedekind–Heinrich Schnitzler","2"
"Bertha Suttner","12906","Olga Schnitzler","2173","555","Directed","Bertha Suttner–Olga Schnitzler","6"
"Paul Goldmann","11485","Olga Schnitzler","2173","555","Directed","Paul Goldmann–Olga Schnitzler","107"
"Paul Goldmann","11485","Richard Beer-Hofmann","10863","397","Directed","Paul Goldmann–Richard Beer-Hofmann","131"
