Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Max Eugen Burckhard","11036","Zwischenspiel. Komödie in drei Akten","29903","26","Directed","Max Eugen Burckhard–Zwischenspiel. Komödie in drei Akten","1"
"Max Eugen Burckhard","11036","Abschiedssouper","30005","23","Directed","Max Eugen Burckhard–Abschiedssouper","2"
"Wilhelm Bölsche","11061","Anatol","29935","96","Directed","Wilhelm Bölsche–Anatol","1"
"Wilhelm Bölsche","11061","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Wilhelm Bölsche–Das Märchen. Schauspiel in drei Aufzügen","6"
"Wilhelm Bölsche","11061","Freie Bühne für den Entwickelungskampf der Zeit","36166","19","Directed","Wilhelm Bölsche–Freie Bühne für den Entwickelungskampf der Zeit","14"
"Jakob Julius David","2416","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Jakob Julius David–Liebelei. Schauspiel in drei Akten","2"
"Jakob Julius David","2416","Reigen. Zehn Dialoge","29855","55","Directed","Jakob Julius David–Reigen. Zehn Dialoge","1"
"Jakob Julius David","2416","Sterben. Novelle","30117","52","Directed","Jakob Julius David–Sterben. Novelle","1"
"Jakob Julius David","2416","Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","32562","28","Directed","Jakob Julius David–Der grüne Kakadu – Paracelsus – Die Gefährtin. Drei Einakter","2"
"Richard Dehmel","11148","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Richard Dehmel–Der Schleier der Beatrice. Schauspiel in fünf Akten","4"
"Richard Dehmel","11148","Der Weg ins Freie. Roman","29923","47","Directed","Richard Dehmel–Der Weg ins Freie. Roman","1"
"Albert Ehrenstein","11230","Liebelei. Schauspiel in drei Akten","29917","131","Directed","Albert Ehrenstein–Liebelei. Schauspiel in drei Akten","1"
"Albert Ehrenstein","11230","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Albert Ehrenstein–Der Schleier der Beatrice. Schauspiel in fünf Akten","1"
