Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Joseph Victor Widmann","3557","Reigen. Zehn Dialoge","29855","55","Directed","Joseph Victor Widmann–Reigen. Zehn Dialoge","1"
"Paul Goldmann","11485","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Paul Goldmann–Das Märchen. Schauspiel in drei Aufzügen","24"
"Paul Goldmann","11485","Die Weber. Schauspiel aus den vierziger Jahren","29827","5","Directed","Paul Goldmann–Die Weber. Schauspiel aus den vierziger Jahren","1"
"Paul Goldmann","11485","Der Ehrentag","29831","4","Directed","Paul Goldmann–Der Ehrentag","1"
"Paul Goldmann","11485","Die Toten schweigen","29833","12","Directed","Paul Goldmann–Die Toten schweigen","1"
"Paul Goldmann","11485","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Paul Goldmann–Der grüne Kakadu. Groteske in einem Akt","7"
"Paul Goldmann","11485","Die Gefährtin. Schauspiel in einem Akt","29845","13","Directed","Paul Goldmann–Die Gefährtin. Schauspiel in einem Akt","3"
"Paul Goldmann","11485","Lieutenant Gustl. Novelle","29853","31","Directed","Paul Goldmann–Lieutenant Gustl. Novelle","4"
"Paul Goldmann","11485","Reigen. Zehn Dialoge","29855","55","Directed","Paul Goldmann–Reigen. Zehn Dialoge","11"
"Paul Goldmann","11485","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Paul Goldmann–Der Schleier der Beatrice. Schauspiel in fünf Akten","44"
"Paul Goldmann","11485","Marionetten. Drei Einakter","29859","7","Directed","Paul Goldmann–Marionetten. Drei Einakter","2"
"Paul Goldmann","11485","Berliner Theater. »Einsame Menschen« im Deutschen Theater","29861","3","Directed","Paul Goldmann–Berliner Theater. »Einsame Menschen« im Deutschen Theater","2"
"Paul Goldmann","11485","Lebendige Stunden. Vier Einakter","29863","38","Directed","Paul Goldmann–Lebendige Stunden. Vier Einakter","23"
"Paul Goldmann","11485","Die Frau mit dem Dolche","29865","14","Directed","Paul Goldmann–Die Frau mit dem Dolche","4"
"Paul Goldmann","11485","Literatur","29869","16","Directed","Paul Goldmann–Literatur","3"
"Paul Goldmann","11485","Die letzten Masken","29877","11","Directed","Paul Goldmann–Die letzten Masken","2"
"Paul Goldmann","11485","Einsame Menschen. Drama","29879","3","Directed","Paul Goldmann–Einsame Menschen. Drama","2"
"Felix Salten","2167","Artifex","29821","5","Directed","Felix Salten–Artifex","2"
"Felix Salten","2167","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Felix Salten–Das Märchen. Schauspiel in drei Aufzügen","6"
"Felix Salten","2167","Die Weber. Schauspiel aus den vierziger Jahren","29827","5","Directed","Felix Salten–Die Weber. Schauspiel aus den vierziger Jahren","1"
"Felix Salten","2167","Der Hinterbliebene","29839","2","Directed","Felix Salten–Der Hinterbliebene","2"
"Felix Salten","2167","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Felix Salten–Der grüne Kakadu. Groteske in einem Akt","3"
"Felix Salten","2167","Die Gefährtin. Schauspiel in einem Akt","29845","13","Directed","Felix Salten–Die Gefährtin. Schauspiel in einem Akt","1"
"Felix Salten","2167","Lieutenant Gustl. Novelle","29853","31","Directed","Felix Salten–Lieutenant Gustl. Novelle","2"
"Felix Salten","2167","Reigen. Zehn Dialoge","29855","55","Directed","Felix Salten–Reigen. Zehn Dialoge","3"
"Felix Salten","2167","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Felix Salten–Der Schleier der Beatrice. Schauspiel in fünf Akten","15"
"Felix Salten","2167","Marionetten. Drei Einakter","29859","7","Directed","Felix Salten–Marionetten. Drei Einakter","1"
"Felix Salten","2167","Lebendige Stunden. Vier Einakter","29863","38","Directed","Felix Salten–Lebendige Stunden. Vier Einakter","3"
"Felix Salten","2167","Die Frau mit dem Dolche","29865","14","Directed","Felix Salten–Die Frau mit dem Dolche","3"
"Felix Salten","2167","Literatur","29869","16","Directed","Felix Salten–Literatur","3"
"Felix Salten","2167","Die letzten Masken","29877","11","Directed","Felix Salten–Die letzten Masken","2"
