Source,SourceID,Lat-Long-Sender,Target,TargetID,Lat-Long-Receiver,Type,Label,Weight
"Wien","50","48,208333 16,373056","Badgasse","1006","48,130176324727 16,278871077438","Directed","Wien–Badgasse","1"
"XVIII., Währing","68","48,23333 16,31667","Sekirn","91729","46,60936 14,21037","Directed","XVIII., Währing–Sekirn","1"
"XVIII., Währing","68","48,23333 16,31667","Hotel garni Athen","264667","47,713189 13,622779","Directed","XVIII., Währing–Hotel garni Athen","1"
"Pension Villa Quisisana","299703","48,003137 16,224985","Baden bei Wien","662","48,00543 16,23264","Directed","Pension Villa Quisisana–Baden bei Wien","1"
"Belišće","90320","45,6799 18,40073","Belišće","90320","45,6799 18,40073","Directed","Belišće–Belišće","1"
"Belišće","90320","45,6799 18,40073","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Belišće–Tiefer Graben 23","1"
"Venedig","462","45,43713 12,33265","Grand Hotel Bauer-Grünwald","310","45,4328 12,336106","Directed","Venedig–Grand Hotel Bauer-Grünwald","1"
"Iselsberg","141909","46,83806 12,84944","Wien","50","48,208333 16,373056","Directed","Iselsberg–Wien","1"
"Helsingør","726","56,03606 12,6136","Casa Petrarca","305","45,43507 12,33541","Directed","Helsingør–Casa Petrarca","1"
"Tschortkiw","45274","49,01701 25,79808","Wien","50","48,208333 16,373056","Directed","Tschortkiw–Wien","2"
"Hühnerspielalm","167610","46,94244075 11,468729461","Gossensaß","40474","46,93857 11,44245","Directed","Hühnerspielalm–Gossensaß","1"
"Gossensaß","40474","46,93857 11,44245","Edmund-Weiß-Gasse 7","168940","48,2304 16,33472","Directed","Gossensaß–Edmund-Weiß-Gasse 7","1"
"Prag","652","50,08333 14,46667","Frankgasse 1","168934","48,21533 16,35736","Directed","Prag–Frankgasse 1","1"
"St. Moritz","44374","46,49937 9,84327","Brijuni","45260","44,91417 13,76222","Directed","St. Moritz–Brijuni","1"
"Graz","860","47,06667 15,43333","Graz","860","47,06667 15,43333","Directed","Graz–Graz","2"
"Graz","860","47,06667 15,43333","Tiefer Graben 23","207296","48,213038 16,368738","Directed","Graz–Tiefer Graben 23","1"
