Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Hermann Bahr","10815","Franz Grillparzer","11518","7","Directed","Hermann Bahr–Franz Grillparzer","1"
"Hermann Bahr","10815","Maurice Maeterlinck","12156","7","Directed","Hermann Bahr–Maurice Maeterlinck","1"
"Hermann Bahr","10815","Alexander Moissi","12274","7","Directed","Hermann Bahr–Alexander Moissi","1"
"Hermann Bahr","10815","Eduard Pötzl","12460","7","Directed","Hermann Bahr–Eduard Pötzl","3"
"Hermann Bahr","10815","Karl Richter","23360","7","Directed","Hermann Bahr–Karl Richter","2"
"Hermann Bahr","10815","Stephan Epstein","2199","6","Directed","Hermann Bahr–Stephan Epstein","5"
"Hermann Bahr","10815","Georg Engländer","2260","6","Directed","Hermann Bahr–Georg Engländer","3"
"Hermann Bahr","10815","Ferry Bératon","14756","6","Directed","Hermann Bahr–Ferry Bératon","1"
"Hermann Bahr","10815","W. Fred","2226","5","Directed","Hermann Bahr–W. Fred","1"
"Hermann Bahr","10815","Peter Rotenstern","2992","5","Directed","Hermann Bahr–Peter Rotenstern","1"
"Hermann Bahr","10815","Gustav Kadelburg","11845","5","Directed","Hermann Bahr–Gustav Kadelburg","1"
"Hermann Bahr","10815","Ferdinand von Saar","12602","5","Directed","Hermann Bahr–Ferdinand von Saar","2"
"Hermann Bahr","10815","Albert von Speidel","12813","5","Directed","Hermann Bahr–Albert von Speidel","4"
"Hermann Bahr","10815","Richard Wagner","13024","5","Directed","Hermann Bahr–Richard Wagner","1"
"Hermann Bahr","10815","Rosa Bahr","13682","5","Directed","Hermann Bahr–Rosa Bahr","2"
"Hermann Bahr","10815","Moritz Coschell","28645","5","Directed","Hermann Bahr–Moritz Coschell","1"
"Hermann Bahr","10815","Edgar von Karg-Bebenburg","2219","4","Directed","Hermann Bahr–Edgar von Karg-Bebenburg","1"
"Hermann Bahr","10815","Elvira Leontine Hervay von Kirchberg","2221","4","Directed","Hermann Bahr–Elvira Leontine Hervay von Kirchberg","1"
"Hermann Bahr","10815","Richard Vallentin","2235","4","Directed","Hermann Bahr–Richard Vallentin","3"
"Hermann Bahr","10815","Helene Ritscher","2303","4","Directed","Hermann Bahr–Helene Ritscher","4"
"Hermann Bahr","10815","Albert Heine","2743","4","Directed","Hermann Bahr–Albert Heine","1"
"Hermann Bahr","10815","Hedwig Bleibtreu","10959","4","Directed","Hermann Bahr–Hedwig Bleibtreu","1"
"Hermann Bahr","10815","Gustav Mahler","12163","4","Directed","Hermann Bahr–Gustav Mahler","1"
"Hermann Bahr","10815","Robert Michel","12254","4","Directed","Hermann Bahr–Robert Michel","2"
"Hermann Bahr","10815","Franz August Carl Maria Reisch","27687","4","Directed","Hermann Bahr–Franz August Carl Maria Reisch","1"
"Hermann Bahr","10815","Wilhelm Singer","2202","3","Directed","Hermann Bahr–Wilhelm Singer","2"
"Hermann Bahr","10815","Hans Pagay","2232","3","Directed","Hermann Bahr–Hans Pagay","2"
"Hermann Bahr","10815","Scofield Thayer","2276","3","Directed","Hermann Bahr–Scofield Thayer","1"
"Hermann Bahr","10815","Heinrich Kley","2306","3","Directed","Hermann Bahr–Heinrich Kley","2"
"Hermann Bahr","10815","Franz Hansy","2320","3","Directed","Hermann Bahr–Franz Hansy","1"
"Hermann Bahr","10815","Ilka Pálmay","2362","3","Directed","Hermann Bahr–Ilka Pálmay","2"
"Hermann Bahr","10815","Aura Hertwig","2370","3","Directed","Hermann Bahr–Aura Hertwig","1"
"Hermann Bahr","10815","Ludwig van Beethoven","10866","3","Directed","Hermann Bahr–Ludwig van Beethoven","1"
"Hermann Bahr","10815","Gustave Flaubert","11330","3","Directed","Hermann Bahr–Gustave Flaubert","1"
"Hermann Bahr","10815","Fritz Freund","11374","3","Directed","Hermann Bahr–Fritz Freund","1"
"Hermann Bahr","10815","Alfred Gerasch","11423","3","Directed","Hermann Bahr–Alfred Gerasch","2"
"Hermann Bahr","10815","Ernst Hartmann","11610","3","Directed","Hermann Bahr–Ernst Hartmann","1"
"Hermann Bahr","10815","Hugo Heller","11646","3","Directed","Hermann Bahr–Hugo Heller","2"
"Hermann Bahr","10815","Karl Langkammer","12037","3","Directed","Hermann Bahr–Karl Langkammer","2"
"Hermann Bahr","10815","Max Liebermann","12068","3","Directed","Hermann Bahr–Max Liebermann","1"
"Hermann Bahr","10815","Georg Reimers","12498","3","Directed","Hermann Bahr–Georg Reimers","1"
"Hermann Bahr","10815","Ignaz Seipel","12762","3","Directed","Hermann Bahr–Ignaz Seipel","1"
"Hermann Bahr","10815","Otto Tressler","12971","3","Directed","Hermann Bahr–Otto Tressler","1"
"Hermann Bahr","10815","Alois Bahr","2132","2","Directed","Hermann Bahr–Alois Bahr","2"
"Hermann Bahr","10815","Josef Popper-Lynkeus","2135","2","Directed","Hermann Bahr–Josef Popper-Lynkeus","2"
"Hermann Bahr","10815","Johann Lukas Schönlein","2138","2","Directed","Hermann Bahr–Johann Lukas Schönlein","2"
"Hermann Bahr","10815","Vincenz Chiavacci","2154","2","Directed","Hermann Bahr–Vincenz Chiavacci","2"
"Hermann Bahr","10815","Ernst Gettke","2164","2","Directed","Hermann Bahr–Ernst Gettke","1"
"Hermann Bahr","10815","Friedrich Geiringer","2170","2","Directed","Hermann Bahr–Friedrich Geiringer","2"
"Hermann Bahr","10815","Albert Gutmann","2185","2","Directed","Hermann Bahr–Albert Gutmann","2"
