Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Paul Goldmann","11485","Eugen d’Albert","27633","3","Directed","Paul Goldmann–Eugen d’Albert","2"
"Paul Goldmann","11485","Johann Klein","27770","1","Directed","Paul Goldmann–Johann Klein","1"
"Paul Goldmann","11485","Karl Eduard Vehse","27903","2","Directed","Paul Goldmann–Karl Eduard Vehse","1"
"Paul Goldmann","11485","Paul Ginisty","28001","1","Directed","Paul Goldmann–Paul Ginisty","1"
"Paul Goldmann","11485","Angelus Silesius","28142","1","Directed","Paul Goldmann–Angelus Silesius","1"
"Paul Goldmann","11485","Max Lesser","28151","1","Directed","Paul Goldmann–Max Lesser","1"
"Paul Goldmann","11485","Isidor Landau","28213","1","Directed","Paul Goldmann–Isidor Landau","1"
"Paul Goldmann","11485","Moriz Necker","28523","1","Directed","Paul Goldmann–Moriz Necker","1"
"Paul Goldmann","11485","Moritz Coschell","28645","5","Directed","Paul Goldmann–Moritz Coschell","1"
"Paul Goldmann","11485","Emil Schiff","34173","2","Directed","Paul Goldmann–Emil Schiff","1"
"Paul Goldmann","11485","Vally Rosengart","34971","7","Directed","Paul Goldmann–Vally Rosengart","7"
"Paul Goldmann","11485","Wolfgang Heine","38364","1","Directed","Paul Goldmann–Wolfgang Heine","1"
"Paul Goldmann","11485","Sébastien Roch Nicolas Chamfort","39417","3","Directed","Paul Goldmann–Sébastien Roch Nicolas Chamfort","3"
"Paul Goldmann","11485","Carl Freund","39775","5","Directed","Paul Goldmann–Carl Freund","1"
"Paul Goldmann","11485","Carl Reinhard","40587","2","Directed","Paul Goldmann–Carl Reinhard","2"
"Paul Goldmann","11485","Gaspard Vallette","40665","1","Directed","Paul Goldmann–Gaspard Vallette","1"
"Paul Goldmann","11485","Felix Paul Greve","41972","2","Directed","Paul Goldmann–Felix Paul Greve","2"
"Paul Goldmann","11485","?? [Totgeborener Sohn von Arthur Schnitzler und Marie Reinhard]","42794","5","Directed","Paul Goldmann–?? [Totgeborener Sohn von Arthur Schnitzler und Marie Reinhard]","3"
"Paul Goldmann","11485","Berta Doepler","45120","2","Directed","Paul Goldmann–Berta Doepler","1"
"Paul Goldmann","11485","Victor Hehn","52648","2","Directed","Paul Goldmann–Victor Hehn","1"
"Paul Goldmann","11485","Peter Paul Rubens","53318","2","Directed","Paul Goldmann–Peter Paul Rubens","2"
"Paul Goldmann","11485","Félix Faure","57436","4","Directed","Paul Goldmann–Félix Faure","4"
"Paul Goldmann","11485","Anselm Feuerbach","64805","1","Directed","Paul Goldmann–Anselm Feuerbach","1"
"Paul Goldmann","11485","August Niemann","64866","2","Directed","Paul Goldmann–August Niemann","2"
"Paul Goldmann","11485","Rémy de Gourmont","64948","1","Directed","Paul Goldmann–Rémy de Gourmont","1"
"Paul Goldmann","11485","Alfred Spitzer","65479","2","Directed","Paul Goldmann–Alfred Spitzer","1"
"Paul Goldmann","11485","Bernard Lazare","65496","1","Directed","Paul Goldmann–Bernard Lazare","1"
"Paul Goldmann","11485","Albrecht Altdorfer","65530","2","Directed","Paul Goldmann–Albrecht Altdorfer","2"
"Paul Goldmann","11485","Ludwig Quidde","65533","1","Directed","Paul Goldmann–Ludwig Quidde","1"
"Paul Goldmann","11485","Hilda von Mitis","65913","7","Directed","Paul Goldmann–Hilda von Mitis","6"
"Paul Goldmann","11485","Maximilian von Mitis","65917","2","Directed","Paul Goldmann–Maximilian von Mitis","2"
"Paul Goldmann","11485","Leopold Sonnemann","87771","138","Directed","Paul Goldmann–Leopold Sonnemann","138"
"Paul Goldmann","11485","Richard Salinger","87783","1","Directed","Paul Goldmann–Richard Salinger","1"
"Paul Goldmann","11485","?? [Bräutigam von Hildegard Mitis]","87793","1","Directed","Paul Goldmann–?? [Bräutigam von Hildegard Mitis]","1"
"Paul Goldmann","11485","Karl Meunier","87848","1","Directed","Paul Goldmann–Karl Meunier","1"
"Paul Goldmann","11485","Hjalmar Christensen","87962","1","Directed","Paul Goldmann–Hjalmar Christensen","1"
