Source,SID,Target,TID,Type,Label,Weight
"Felix Salten","2167","Theodor Herzl","11673","Directed","Felix Salten–Theodor Herzl","6"
"Felix Salten","2167","Alfred Kerr","11910","Directed","Felix Salten–Alfred Kerr","7"
"Felix Salten","2167","Frieda Pollak","22728","Directed","Felix Salten–Frieda Pollak","15"
"Felix Salten","2167","Julius Schnitzler","12698","Directed","Felix Salten–Julius Schnitzler","4"
"Felix Salten","2167","Johann Wolfgang von Goethe","11461","Directed","Felix Salten–Johann Wolfgang von Goethe","1"
"Felix Salten","2167","Elisabeth Steinrück","2315","Directed","Felix Salten–Elisabeth Steinrück","5"
"Felix Salten","2167","Paul Schlenther","12671","Directed","Felix Salten–Paul Schlenther","8"
"Felix Salten","2167","Jakob Wassermann","13055","Directed","Felix Salten–Jakob Wassermann","6"
"Felix Salten","2167","Georg Hirschfeld","11701","Directed","Felix Salten–Georg Hirschfeld","9"
"Felix Salten","2167","Arthur Schnitzler","2121","Directed","Felix Salten–Arthur Schnitzler","4"
